Name|Ingredients|Link
mongolian beef and spring onions|vegetable oil, garlic, ginger, soy sauce, water, dark brown sugar, beef flank steak, cornstarch, vegetable oil, green onion|https://www.allrecipes.com/recipe/201849/mongolian-beef-and-spring-onions/
perfect sesame chicken|all-purpose flour, cornstarch, baking soda, baking powder, soy sauce, sherry, water, vegetable oil, sesame oil, chicken breast, chicken broth, white sugar, distilled white vinegar, dark soy sauce, sesame oil, chile paste, garlic, cornstarch, water, olive oil, sesame seed|https://www.allrecipes.com/recipe/141191/perfect-sesame-chicken/
asian glazed chicken thighs|rice vinegar, honey, soy sauce, sesame oil, chili garlic sauce, garlic, salt, chicken thigh, green onion|https://www.allrecipes.com/recipe/216943/asian-glazed-chicken-thighs/
chinese pepper steak|beef top sirloin steak, soy sauce, white sugar, cornstarch, ginger, vegetable oil, red onion, green bell pepper, tomato|https://www.allrecipes.com/recipe/172704/chinese-pepper-steak/
spicy thai basil chicken (pad krapow gai)|chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, brown sugar, vegetable oil, chicken thigh, shallot, garlic, serrano, basil leaf, rice|https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/
sweet and sour sauce i|white sugar, white vinegar, water, soy sauce, ketchup, cornstarch|https://www.allrecipes.com/recipe/19670/sweet-and-sour-sauce-i/
chicken katsu|chicken breast, salt, all-purpose flour, egg, panko bread crumb, oil|https://www.allrecipes.com/recipe/72068/chicken-katsu/
asian coleslaw|rice wine vinegar, vegetable oil, creamy peanut butter, soy sauce, brown sugar, ginger, garlic, green cabbage, red cabbage, napa cabbage, red bell pepper, carrot, green onion, cilantro|https://www.allrecipes.com/recipe/14297/asian-coleslaw/
carrot rice|basmati rice, water, peanut, margarine, onion, ginger, carrot, salt, cayenne pepper, cilantro|https://www.allrecipes.com/recipe/17971/carrot-rice/
pad thai|rice noodle, butter, chicken breast, vegetable oil, egg, white wine vinegar, fish sauce, white sugar, red pepper, bean sprout, peanut, green onion, lemon|https://www.allrecipes.com/recipe/42968/pad-thai/
coconut curry tofu|green onion, coconut milk, soy sauce, brown sugar, curry powder, ginger, chile paste, tofu, roma plum tomato, yellow bell pepper, mushroom, basil, bok choy, salt|https://www.allrecipes.com/recipe/45688/coconut-curry-tofu/
asian coconut rice|coconut milk, water, sugar, salt, jasmine rice|https://www.allrecipes.com/recipe/56059/asian-coconut-rice/
baked soy lemon chops|soy sauce, worcestershire sauce, garlic, lemon, black pepper, vegetable oil, pork|https://www.allrecipes.com/recipe/40352/baked-soy-lemon-chops/
amber's sesame chicken|all-purpose flour, sesame seed, black pepper, five-spice powder, red pepper flake, chicken breast, vegetable oil, yellow onion, green bell pepper, teriyaki sauce, honey|https://www.allrecipes.com/recipe/65924/ambers-sesame-chicken/
vietnamese fresh spring rolls|rice vermicelli, rice wrapper, shrimp, thai basil, mint leaf, cilantro, lettuce, fish sauce, water, lime, garlic, white sugar, garlic chili sauce, hoisin sauce, peanut|https://www.allrecipes.com/recipe/24239/vietnamese-fresh-spring-rolls/
chickpea curry|vegetable oil, onion, garlic, ginger, , cinnamon, cumin, coriander, salt, cayenne pepper, turmeric, garbanzo bean, cilantro|https://www.allrecipes.com/recipe/34689/chickpea-curry/
ginger veggie stir-fry|cornstarch, garlic, ginger, vegetable oil, broccoli, snow pea, carrot, green bean, soy sauce, water, onion, salt|https://www.allrecipes.com/recipe/24712/ginger-veggie-stir-fry/
best egg rolls|pork, ginger, garlic powder, peanut oil, all-purpose flour, water, cabbage, carrot, egg roll wrapper, sesame seed|https://www.allrecipes.com/recipe/14704/best-egg-rolls/
slow cooker butter chicken|butter, vegetable oil, chicken thigh, onion, garlic, curry powder, curry paste, tandoori masala, garam masala, tomato paste, green cardamom, low-fat plain yogurt, coconut milk, salt|https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/
chicken satay|creamy peanut butter, soy sauce, lemon, brown sugar, curry powder, garlic, pepper sauce, chicken breast|https://www.allrecipes.com/recipe/17511/chicken-satay/
egg drop soup (better than restaurant quality!)|chicken broth, soy sauce, sesame oil, cornstarch, water, egg, yellow food coloring, chive, salt, white pepper|https://www.allrecipes.com/recipe/115965/egg-drop-soup-better-than-restaurant-quality/
black pepper beef and cabbage stir fry|vegetable oil, garlic, beef, cabbage, red bell pepper, soy sauce, cornstarch, water, black pepper, salt|https://www.allrecipes.com/recipe/50233/black-pepper-beef-and-cabbage-stir-fry/
asian chicken salad|brown sugar, soy sauce, sesame oil, vegetable oil, rice vinegar, rice noodle, iceberg lettuce, chicken breast, green onion, sesame seed|https://www.allrecipes.com/recipe/14252/asian-chicken-salad/
thai peanut chicken|white rice, water, soy sauce, creamy peanut butter, white wine vinegar, cayenne pepper, olive oil, chicken breast, garlic, ginger, green onion, broccoli, peanut|https://www.allrecipes.com/recipe/50658/thai-peanut-chicken/
sweet and sour chicken iii|chicken breast, vegetable oil, green bell pepper, red bell pepper, carrot, garlic, cornstarch, soy sauce, pineapple, vinegar, brown sugar, ginger|https://www.allrecipes.com/recipe/17747/sweet-and-sour-chicken-iii/
general tsao's chicken|cornstarch, water, garlic, ginger, white sugar, soy sauce, white wine vinegar, chicken broth, monosodium glutamate, chicken breast, soy sauce, white pepper, egg, cornstarch, vegetable oil, green onion, chile pepper|https://www.allrecipes.com/recipe/8890/general-tsaos-chicken/
japanese zucchini and onions|vegetable oil, onion, zucchini, teriyaki sauce, soy sauce, sesame seed, black pepper|https://www.allrecipes.com/recipe/87651/japanese-zucchini-and-onions/
broccoli and chicken stir-fry|soy sauce, brown sugar, ginger, red pepper flake, water, cornstarch, vegetable oil, chicken breast, onion, broccoli|https://www.allrecipes.com/recipe/240708/broccoli-and-chicken-stir-fry/
thai cucumber salad|cucumber, salt, white sugar, rice wine vinegar, jalapeno, cilantro, peanut|https://www.allrecipes.com/recipe/169593/thai-cucumber-salad/
pineapple grilled pork chops|pineapple, brown sugar, soy sauce, garlic powder, pork, black pepper|https://www.allrecipes.com/recipe/218070/pineapple-grilled-pork-chops/
garlic chicken stir fry|peanut oil, garlic, ginger, green onion, salt, chicken breast, onion, cabbage, red bell pepper, sugar snap pea, chicken broth, soy sauce, white sugar, cornstarch|https://www.allrecipes.com/recipe/8934/garlic-chicken-stir-fry/
thai green curry chicken|chicken breast, dark soy sauce, all-purpose flour, cooking oil, green curry paste, green onion, garlic, ginger, coconut milk, fish sauce, dark soy sauce, white sugar, cilantro|https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/
grilled asian chicken|soy sauce, sesame oil, honey, ginger, garlic, chicken breast|https://www.allrecipes.com/recipe/8919/grilled-asian-chicken/
honey walnut shrimp|water, white sugar, walnut, egg white, mochiko glutinous rice flour, mayonnaise, shrimp, honey, sweetened condensed milk, vegetable oil|https://www.allrecipes.com/recipe/93234/honey-walnut-shrimp/
yakisoba chicken|sesame oil, canola oil, chile paste, garlic, chicken breast, soy sauce, onion, cabbage, carrot, soba noodle|https://www.allrecipes.com/recipe/8628/yakisoba-chicken/
korean bbq chicken marinade|white sugar, soy sauce, water, onion powder, ginger, lemon, chile paste|https://www.allrecipes.com/recipe/21033/korean-bbq-chicken-marinade/
sweet and spicy stir fry with chicken and broccoli|broccoli, olive oil, chicken breast, green onion, garlic, hoisin sauce, chile paste, soy sauce, ginger, red pepper, salt, black pepper, chicken stock|https://www.allrecipes.com/recipe/70585/sweet-and-spicy-stir-fry-with-chicken-and-broccoli/
shrimp fried rice ii|white rice, water, vegetable oil, bean sprout, onion, shrimp, green onion, egg, salt, black pepper, soy sauce, sesame oil|https://www.allrecipes.com/recipe/21561/shrimp-fried-rice-ii/
sesame shrimp stir-fry|water, white rice, shrimp, ginger, cayenne pepper, garlic, sesame seed, black pepper, sesame oil, red bell pepper, green onion, teriyaki sauce, sugar snap pea, cornstarch, chicken broth, salt|https://www.allrecipes.com/recipe/18101/sesame-shrimp-stir-fry/
sesame seared tuna|soy sauce, mirin, honey, sesame oil, rice wine vinegar, tuna steak, sesame seed, wasabi paste, olive oil|https://www.allrecipes.com/recipe/71698/sesame-seared-tuna/
thai pineapple chicken curry|jasmine rice, water, red curry paste, coconut milk, chicken breast, fish sauce, white sugar, bamboo shoot, red bell pepper, green bell pepper, onion, pineapple|https://www.allrecipes.com/recipe/86005/thai-pineapple-chicken-curry/
slammin' salmon|balsamic vinegar, lemon, soy sauce, salt, brown sugar, ginger, paprika, black pepper, red pepper flake, garlic, green onion, sesame oil, peanut oil, salmon|https://www.allrecipes.com/recipe/137414/slammin-salmon/
chef john's caramel chicken|dark brown sugar, water, fish sauce, rice vinegar, soy sauce, garlic, ginger, vegetable oil, chicken thigh, peanut, jalapeno, green onion, cilantro|https://www.allrecipes.com/recipe/221950/chef-johns-caramel-chicken/
baingan bharta (eggplant curry)|eggplant, vegetable oil, cumin, onion, ginger garlic paste, curry powder, tomato, plain yogurt, jalapeno, salt, cilantro|https://www.allrecipes.com/recipe/47564/baingan-bharta-eggplant-curry/
traditional filipino lumpia|vegetable oil, pork, garlic, onion, carrot, green onion, green cabbage, black pepper, salt, garlic powder, soy sauce, lumpia wrapper, vegetable oil|https://www.allrecipes.com/recipe/35151/traditional-filipino-lumpia/
thai red chicken curry|olive oil, chicken breast, thai red curry paste, zucchini, red bell pepper, carrot, onion, cornstarch, coconut milk, cilantro|https://www.allrecipes.com/recipe/85815/thai-red-chicken-curry/
